PassengerId,Target,Age,SibSp,Parch,Fare,Sex_f,Pclass_1,Pclass_2,Pclass_3,Probabilidade,Survived
1,0,22.0,1,0,7.25,0,0,0,1,0.16260751180458557,0
2,1,38.0,1,0,71.2833,1,1,0,0,0.9178278319766818,1
3,1,26.0,0,0,7.925,1,0,0,1,0.5124023969205667,1
4,1,35.0,1,0,53.1,1,1,0,0,0.8903921767355759,1
5,0,35.0,0,0,8.05,0,0,0,1,0.13602522009153864,0
6,0,0.0,0,0,8.4583,0,0,0,1,0.16317722511223462,0
7,0,54.0,0,0,51.8625,0,1,0,0,0.29608778253679213,0
8,0,2.0,3,1,21.075,0,0,0,1,0.16139041857944547,0
9,1,27.0,0,2,11.1333,1,0,0,1,0.5933820482070442,1
10,1,14.0,1,0,30.0708,1,0,1,0,0.8274417468957165,1
11,1,4.0,1,1,16.7,1,0,0,1,0.602573409236765,1
12,1,58.0,0,0,26.55,1,1,0,0,0.7755943776265324,1
13,0,20.0,0,0,8.05,0,0,0,1,0.17704707194016342,0
14,0,39.0,1,5,31.275,0,0,0,1,0.11708779564536564,0
15,0,14.0,0,0,7.8542,1,0,0,1,0.5401064528604133,1
16,1,55.0,0,0,16.0,1,0,1,0,0.7615056437814006,1
17,0,2.0,4,1,29.125,0,0,0,1,0.0986872853176968,0
18,1,0.0,0,0,13.0,0,0,1,0,0.23559218011791433,0
19,0,31.0,1,0,18.0,1,0,0,1,0.5319304303256908,1
20,1,0.0,0,0,7.225,1,0,0,1,0.5735378695000827,1
21,0,35.0,0,0,26.0,0,0,1,0,0.2214936486438881,0
22,1,34.0,0,0,13.0,0,0,1,0,0.18439868598625817,0
23,1,15.0,0,0,8.0292,1,0,0,1,0.5360597840020328,1
24,1,28.0,0,0,35.5,0,1,0,0,0.38652897485832977,0
25,0,8.0,3,1,21.075,1,0,0,1,0.28945312888257707,0
26,1,38.0,1,5,31.3875,1,0,0,1,0.1504263912398742,0
27,0,0.0,0,0,7.225,0,0,0,1,0.14669482179349055,0
28,0,19.0,3,2,263.0,0,1,0,0,0.545467730720629,1
29,1,0.0,0,0,7.8792,1,0,0,1,0.5607231260898503,1
30,0,0.0,0,0,7.8958,0,0,0,1,0.15278128118195777,0
31,0,40.0,0,0,27.7208,0,1,0,0,0.42075338585436056,0
32,1,0.0,1,0,146.5208,1,1,0,0,0.907457009372385,1
33,1,0.0,0,0,7.75,1,0,0,1,0.5772983441823915,1
34,0,66.0,0,0,10.5,0,0,1,0,0.21899337409507716,0
35,0,28.0,1,0,82.1708,0,1,0,0,0.4261733931226217,0
36,0,42.0,1,0,52.0,0,1,0,0,0.3779161714930015,0
37,1,0.0,0,0,7.2292,0,0,0,1,0.1483198707951091,0
38,0,21.0,0,0,8.05,0,0,0,1,0.17596453807576942,0
39,0,18.0,2,0,18.0,1,0,0,1,0.5290009777460986,1
40,1,14.0,1,0,11.2417,1,0,0,1,0.5696374184045087,1
41,0,40.0,1,0,9.475,1,0,0,1,0.30748801224877315,0
42,0,27.0,1,0,21.0,1,0,1,0,0.7158782288023688,1
43,0,0.0,0,0,7.8958,0,0,0,1,0.15278128118195777,0
44,1,3.0,1,2,41.5792,1,0,1,0,0.9063369709905452,1
45,1,19.0,0,0,7.8792,1,0,0,1,0.5196076207623314,1
46,0,0.0,0,0,8.05,0,0,0,1,0.16422841004332608,0
47,0,0.0,1,0,15.5,0,0,0,1,0.22891396827509133,0
48,1,0.0,0,0,7.75,1,0,0,1,0.5772983441823915,1
49,0,0.0,2,0,21.6792,0,0,0,1,0.23446898987473824,0
50,0,18.0,1,0,17.8,1,0,0,1,0.5438639399683763,1
51,0,7.0,4,1,39.6875,0,0,0,1,0.08458430775156077,0
52,0,21.0,0,0,7.8,0,0,0,1,0.1698781958103872,0
53,1,49.0,1,0,76.7292,1,1,0,0,0.930796866173902,1
54,1,29.0,1,0,26.0,1,0,1,0,0.8063350148386681,1
55,0,65.0,0,1,61.9792,0,1,0,0,0.20359006162181958,0
56,1,0.0,0,0,35.5,0,1,0,0,0.37298527925499186,0
57,1,21.0,0,0,10.5,1,0,1,0,0.7715730086597421,1
58,0,28.5,0,0,7.2292,0,0,0,1,0.15060477102430772,0
59,1,5.0,1,2,27.75,1,0,1,0,0.9087700521940972,1
60,0,11.0,5,2,46.9,0,0,0,1,0.06477591197029989,0
61,0,22.0,0,0,7.2292,0,0,0,1,0.15833017055214174,0
62,1,38.0,0,0,80.0,1,1,0,0,0.9326344669326713,1
63,0,45.0,1,0,83.475,0,1,0,0,0.4267347138271888,0
64,0,4.0,3,2,27.9,0,0,0,1,0.09371863003586119,0
65,0,0.0,0,0,27.7208,0,1,0,0,0.41015847900032093,0
66,1,0.0,1,1,15.2458,0,0,0,1,0.369610046188486,0
67,1,29.0,0,0,10.5,1,0,1,0,0.7788488978808881,1
68,0,19.0,0,0,8.1583,0,0,0,1,0.1726531485439612,0
69,1,17.0,4,2,7.925,1,0,0,1,0.5393998876686606,1
70,0,26.0,2,0,8.6625,0,0,0,1,0.163402984914439,0
71,0,32.0,0,0,10.5,0,0,1,0,0.19665539220145076,0
72,0,16.0,5,2,46.9,1,0,0,1,0.14205024435027808,0
73,0,21.0,0,0,73.5,0,0,1,0,0.24221023801304306,0
74,0,26.0,1,0,14.4542,0,0,0,1,0.20915719394734106,0
75,1,32.0,0,0,56.4958,0,0,0,1,0.40382424456209104,0
76,0,25.0,0,0,7.65,0,0,0,1,0.14919777976863932,0
77,0,0.0,0,0,7.8958,0,0,0,1,0.15278128118195777,0
78,0,0.0,0,0,8.05,0,0,0,1,0.16422841004332608,0
79,1,0.83,0,2,29.0,0,0,1,0,0.6402215682172248,1
80,1,30.0,0,0,12.475,1,0,0,1,0.5400548184296863,1
81,0,22.0,0,0,9.0,0,0,0,1,0.17222811333862598,0
82,1,29.0,0,0,9.5,0,0,0,1,0.1779579537868434,0
83,1,0.0,0,0,7.7875,1,0,0,1,0.5729582835780485,1
84,0,28.0,0,0,47.1,0,1,0,0,0.36652314507231154,0
85,1,17.0,0,0,10.5,1,0,1,0,0.7827688272046851,1
86,1,33.0,3,0,15.85,1,0,0,1,0.5692772442550006,1
87,0,16.0,1,3,34.375,0,0,0,1,0.21416950221804604,0
88,0,0.0,0,0,8.05,0,0,0,1,0.16422841004332608,0
89,1,23.0,3,2,263.0,1,1,0,0,0.872782829528414,1
90,0,24.0,0,0,8.05,0,0,0,1,0.17462689654839544,0
91,0,29.0,0,0,8.05,0,0,0,1,0.18197468616418272,0
92,0,20.0,0,0,7.8542,0,0,0,1,0.1699886850975797,0
93,0,46.0,1,0,61.175,0,1,0,0,0.40242584450489594,0
94,0,26.0,1,2,20.575,0,0,0,1,0.2796703316560022,0
95,0,59.0,0,0,7.25,0,0,0,1,0.0818736989293483,0
96,0,0.0,0,0,8.05,0,0,0,1,0.16422841004332608,0
97,0,71.0,0,0,34.6542,0,1,0,0,0.20303143710164798,0
98,1,23.0,0,1,63.3583,0,1,0,0,0.4585566376931603,0
99,1,34.0,0,1,23.0,1,0,1,0,0.88151769657471,1
100,0,34.0,1,0,26.0,0,0,1,0,0.21718215803797286,0
101,0,28.0,0,0,7.8958,1,0,0,1,0.46189465089262616,0
102,0,0.0,0,0,7.8958,0,0,0,1,0.15278128118195777,0
103,0,21.0,0,1,77.2875,0,1,0,0,0.452442679753924,0
